x,y,z,vx,vy,vz,ax,ay,az,phi,ident
-5149.27881,-24781.0156,-14563.8574,-57.6257172,41.8369102,258.236328,-7.8865943,-0.365513951,27.8835068,278399.031,151895
-5811.90869,-24270.9766,-14809.3574,-75.292778,73.7335892,254.502182,-9.52042484,2.97115517,25.5177803,276835.312,151890
-5861.15869,-24052.8027,-14896.1465,-75.3156204,58.3212547,248.74588,-8.79846764,0.666121364,25.334404,278232.219,152000
-5631.7666,-24069.7734,-14892.9814,-85.8071671,36.5892982,230.6754,-10.4807758,0.487648487,24.8096733,280610.719,152007
-5467.41602,-24140.1797,-14774.2646,-86.5764694,52.0937881,233.537857,-11.4816847,0.696924329,24.0865116,279513.344,152005
-5701.31836,-25067.3496,-14226.8506,-64.7525864,49.5558128,276.109253,-8.44845486,0.383656979,29.7894325,263620.625,151889
-6618.32031,-24716.2598,-14544.2871,-97.9087677,72.0132599,273.855164,-11.5258636,2.76245165,28.719986,263009.5,151668
-6313.05566,-24165.4766,-13900.4033,-106.417923,55.1777573,276.015167,-13.0380459,0.933633506,30.3233147,244557.172,152008
-5351.98291,-24281.0605,-13853.6826,-65.4695892,21.2543545,286.268066,-7.92404699,-2.05863333,32.324131,254109.422,152014
-5197.75342,-24326.7344,-13745.166,-69.1212234,37.6398582,285.866425,-10.2330456,-1.71947944,31.6587257,252459.625,152012
-4300.03662,-25028.7871,-15185.3857,-28.8040771,49.5803909,260.633545,-4.68296623,0.0186636616,26.4408779,307230.438,151865
-3618.87622,-25025.6016,-15100.3848,-11.0844307,50.1428185,272.101471,-2.88679361,0.0704215914,28.5472374,311632.594,151869
-3874.07837,-24907.7578,-14733.2314,-2.05227113,-4.98174477,246.149689,0.826258183,-1.79204047,27.4003124,297269.812,152039
-3656.20337,-24851.1152,-14719.6123,-41.1141815,38.405777,243.613602,17.2240677,-10.7190313,46.9222031,297005.156,153793
-3531.00293,-24919.5117,-14662.2764,-12.517664,20.7876225,303.264496,96.4189453,98.0786133,123.740524,289094.219,153682
-3536.06323,-24894.6758,-14672.2246,-57.1704445,-1.58493459,201.011322,48.1065483,-131.862762,134.360901,291166.25,153683
-3510.41797,-24942.1699,-14639.8887,-63.9823608,-86.6450195,298.234772,18.0669632,272.930206,40.6443024,288851.438,151926
-3581.78589,-24925.3965,-14633.8701,-28.7396011,62.4144249,215.379532,54.4507904,25.2208977,0.830913901,292433.844,153792
-3621.21875,-24852.7656,-14653.0674,29.1495895,-39.1619949,266.28418,85.3840866,-23.5311184,24.7397537,293302.656,151927
-3586.90356,-24852.4336,-14649.1914,-45.8198624,25.1399078,294.317169,-47.6256447,-42.413269,12.2856216,292847.312,153802
-3507.18506,-24906.5215,-14647.6768,72.5438309,41.107933,175.552368,-71.3030014,-203.217712,110.16114,287304.344,153795
-3499.09912,-24921.1426,-14635.9482,-28.229105,48.0932999,309.648804,-180.523682,12.5167332,-2.23929405,286044.188,152036
-3503.01782,-24918.6035,-14622.4502,-32.4876862,-53.3340569,215.950348,-56.5818787,-43.2245216,-237.433319,287382.688,152037
-4483.61328,-24395.332,-15123.7334,-39.8358994,36.9079895,236.093918,-5.62998009,-0.187847555,23.7265987,301827.875,152032
-4344.89062,-24350.7949,-15278.333,-36.1900177,55.3635826,251.046646,-6.40585947,-0.897627056,24.8664989,307722.188,151867
-4491.51221,-24014.3184,-15032.2939,-66.044281,14.8616962,221.493607,-8.01522446,-1.7594707,23.028492,299490.031,152053
-4612.83398,-24527.1836,-14582.4844,-15.5353003,30.1720066,259.905701,21.987278,52.2586441,31.9118595,283514.562,152035
-4595.94971,-24495.0527,-14579.5439,-81.5779495,5.66849995,245.136383,-36.0345268,-56.7849388,21.6422825,283642,152033
-4071.44775,-24461.7969,-15307.5264,-39.0719147,18.6091614,239.284882,-2.00306034,1.10937417,22.4782028,311562.719,151981
-3984.90332,-24408.2422,-15365.4805,-30.8654137,30.3640308,243.191223,-8.17093182,-3.42676163,26.7022381,314223.375,152038
-3488.23755,-24661.1992,-15230.1191,-14.5026131,31.6917553,289.951172,15.3480749,35.005661,58.5583,315077.219,153737
-3472.80884,-24634.9648,-15207.0088,-51.832386,33.0252838,231.175064,-28.1744461,-38.4572906,-6.63409472,314592.25,153627
-3647.19995,-24563.0371,-15227.1699,-37.4648438,-1.87310779,240.040909,-3.89779186,-3.03215766,26.8374481,314098.062,153794
-3777.49219,-24503.7773,-15166.8018,-17.6971512,42.9190559,253.785355,-2.14910698,-4.05043793,23.7592525,310997.875,151871
-4242.99023,-24653.8613,-14712.0137,-27.5835457,34.8972282,264.435791,-5.7939415,-2.86303782,26.6036358,293010.812,151922
-3623.83008,-24549.7305,-14971.0742,-37.0762291,-23.9946651,226.150085,-4.77191305,-5.53506231,23.2448215,307391.281,153809
-4984.76074,-25182.4453,-14431.6836,-47.3094368,46.0017776,256.120361,-11.7652407,9.85985851,41.0580025,276958.469,151892
-5002.98486,-25144.5078,-14387.0205,-46.8148422,40.5361176,293.663727,-2.02818918,-10.6871452,17.0207844,275286.219,151893
-4312.68115,-25236.6191,-14385.832,-30.839325,59.146595,277.367432,-6.56858253,14.0001564,37.9268303,282768.312,151920
-4317.01221,-25187.1113,-14354.5361,-27.3005276,18.4356155,272.123505,-4.05759716,-16.2971382,18.732748,281646.781,151921
-4377.56787,-25023.5352,-13762.8877,-42.2608376,23.59762,281.674591,-7.86847878,-2.50222945,30.4193611,264183.531,151930
-4241.01074,-24884.2031,-14511.4258,-27.2232132,31.3386879,258.096039,-5.41712856,-2.18058991,27.197752,287291.219,151923
-3531.75,-25216.6855,-14425.668,-1.13871193,56.359787,249.442307,-2.4327445,5.11006451,44.8089027,292099.875,151924
-3530.73267,-25202.7363,-14372.8369,-7.01350641,26.2968102,278.607666,-3.394521,-6.69286251,4.30747795,290698.906,151925
-3816.69702,-25293.3438,-13924.5088,-25.2044201,6.48487234,269.27356,-5.11714029,-4.05278063,28.4962349,276233.969,151934
-4315.32275,-24736.168,-14165.7979,-59.0798073,15.2395153,260.3078,-8.08197021,-3.43438935,28.1113319,276553.25,152044
-4544.2041,-24726.3594,-14020.3926,-63.682457,7.26596355,273.483368,-7.88016224,-1.81818891,30.1209106,269282.5,152046
-4641.02539,-24539.373,-13856.8779,-63.1851654,1.92444515,281.255402,-14.1665611,-25.5562038,40.7970924,262304.469,152042
-4651.69531,-24582.8984,-13836.0576,-45.1231422,24.6291695,272.683807,-2.9835937,19.2489395,19.5178165,261499.281,152040
-4600.18506,-24248.7402,-13901.0137,-77.9727859,-6.13620281,274.781036,-10.1005306,-5.19112921,29.9658318,265967.375,152060
-3808.03564,-24504.0762,-14311.6895,-49.6088409,-22.3159924,239.223602,-6.41774988,-6.18160343,24.625864,287952,153816
-2967.60205,-26823.0078,-16617.8242,-20.5214157,21.8393459,249.730804,-2.95809126,-2.10982513,25.287056,371637.625,752790
-2600.41699,-26812.4902,-16372.5107,-18.0485172,19.7404556,263.015259,-2.21552658,-2.55847239,26.4057713,363893.719,752818
-2024.14563,-26745.3516,-16867.7578,-9.52573204,23.2693386,255.809174,-1.49305224,-2.28867316,25.530859,382196.406,749311
-2885.73413,-26108.7812,-16805.3008,-18.0985241,40.5143318,237.222427,-3.0390985,-0.18360275,23.8994846,373182.281,153604
-2547.47217,-26004.3184,-16554.5,-18.6079254,43.2562256,250.361115,-2.69542789,-0.249236837,24.9419365,364930.375,153632
-3010.0459,-26996.8574,-15881.6768,-11.8983059,5.39928579,285.505981,5.39984274,-8.84629154,37.8785667,347154.469,752791
-2974.67603,-27021.9062,-15833.3535,-24.9610004,15.8964214,239.185135,-10.3846426,2.37758732,16.0869923,345752.562,752798
-2311.58887,-26953.0312,-15983.3213,-1.64084363,12.2392035,270.201202,-0.598753512,-3.39889002,27.869154,351945.688,752819
-3415.97974,-26360.75,-15895.1035,-20.6944046,21.5073357,250.232025,-10.7290268,-10.2716331,31.9808559,343319.906,153608
-3035.98779,-26136.1387,-15901.4062,-43.3060646,34.2017632,249.122955,28.4145203,-2.97532272,25.5163193,342009.312,153612
-2991.26953,-26138.4766,-15901.9561,1.91493177,33.8720627,264.706116,-34.1930313,0.358204186,26.4105434,342101.812,153605
-3156.13013,-25718.5508,-15970.1689,-2.9579215,41.9992867,237.78952,-1.24578094,0.983412445,24.1062355,342848.781,153610
-2229.84082,-26031.8848,-15993.6035,1.67270589,38.4449501,266.913544,-0.809650838,-1.09516466,26.9574947,347002.344,153633
-1932.40649,-26102.7793,-15536.6797,23.1271191,30.2658901,275.600006,1.46536875,-2.73159289,28.5153313,332373.281,153640
-909.429565,-27183.6855,-16436.5605,-13.4585133,-3.24293089,292.766449,-0.553868949,-5.42811298,30.4733562,373561.094,749563
-1102.11914,-26541.1191,-16662.0547,-12.1142893,10.4015656,265.456757,-13.292695,-1.36992264,23.4135551,377055.031,150349
-1093.76746,-26889.1621,-16286.1133,6.00453949,11.7087831,297.007141,1.18646693,-13.6941986,39.2851715,364796.75,749531
-398.26178,-26698.7773,-16933.4023,-8.85495377,-2.73419833,258.554688,-0.488076031,-5.21068859,26.306282,393111.188,150381
-345.091156,-26985.1895,-16366.0479,-3.44503403,-18.34902,276.717743,0.293842107,-6.76386833,29.1118546,373821.469,153892
-1389.17334,-26182.9746,-16789.834,-0.873122633,30.7791862,261.407959,-1.25988519,-1.77680075,25.7687035,378838.969,150345
-987.314209,-25781.9746,-16792.8516,-48.0280914,8.74344254,258.187592,-4.61305428,-3.05608225,25.0731239,380005.469,150397
